_ - _ - id,_ - _ - active,_ - _ - subtype,_ - _ - place_name,_ - _ - subcategory,_ - _ - place_address,_ - _ - place_type_id,_ - _ - place_latitude,_ - _ - place_longitude,_ - _ - place_type_name
E04181,1,estacion,"E04181 · Servicio Rayo, S.A. de C.V.",Estación,"Calle Volcan Ajusco No 604, Col. El Coll. Urbano",3,20.644867,-103.432561,estacion
E05435,1,estacion,"E05435 · Combustibles Mariano Otero, S.A. de C.V.",Estación,"Carrt. San Sebastian El Grande-Tlajocomulco Km 2, Col. La Calerilla",3,20.563122,-103.413184,estacion
E08591,1,estacion,E08591 · Servicios Bernaldez S.A de C.V.,Estación,"Km.3+100 Carret.Zapotlan Del Rey Otlatan #477, Col. S/C",3,20.467529,-102.907541,estacion
E03751,1,estacion,E03751 · Carvajal Rivera Ma. Guadalupe,Estación,"Km. 137.5 Carrt. Lagos-Guadl.Y Ent.Carrt. a Acatic, Col. .",3,20.721120,-102.905137,estacion
E01619,1,estacion,"E01619 · Super Servicio Tepatitlan, S.A. de C.V.",Estación,"Av. Jalisco y Av. El Panteon, Col. .-",3,20.803560,-102.759260,estacion
E01620,1,estacion,"E01620 · Servicio Españita, SA de CV",Estación,"Km. 84 Carret. a San Luis Potosi, Col. EspaºIta",3,20.821720,-102.750651,estacion
E03523,1,estacion,"E03523 · Servicio Los Encinos,S.A.de C.V.",Estación,"Km 103+820 Carrt. Irapuato-Guadalajara, Col. S/D",3,20.433034,-102.127650,estacion
E06328,1,estacion,"E06328 · Servicios y Combustibles Leon, S.A. de C.V.",Estación,"Prolg. Escobar # 350, Col. Las Moradas",3,20.552380,-102.0453,estacion
E03614,1,estacion,E03614 · Alvarez Perez Raul,Estación,"Crucero Arandas-Jesus Maria, Col. -",3,20.686857,-102.233914,estacion
E03607,1,estacion,"E03607 · Combustibles y Servicios Samer, S.A. de C.V.",Estación,"Km.27+600 Carr.Tapatitlan-Arandas, Col. .-",3,20.740086,-102.515308,estacion
